>> Starting AdamW training on corpus 'corpus.txt' (80 epochs, LR: 0.025, 1024 vocab target)...
  [CUDA GPU Acceleration: ACTIVE (NVIDIA GeForce RTX 4060 Target)]

  [Epoch  2/80 | Batch 141/188 ( 75%)] Loss: 5.6026 
  [Epoch  2/80 | Batch 145/188 ( 77%)] Loss: 5.6013 
  [Epoch  2/80 | Batch 149/188 ( 79%)] Loss: 5.6005 
  [Epoch  2/80 | Batch 153/188 ( 81%)] Loss: 5.6020 
  [Epoch  2/80 | Batch 157/188 ( 83%)] Loss: 5.6015 
  [Epoch  2/80 | Batch 161/188 ( 85%)] Loss: 5.6032 
  [Epoch  2/80 | Batch 165/188 ( 87%)] Loss: 5.6008 
  [Epoch  2/80 | Batch 169/188 ( 89%)] Loss: 5.6032 
  [Epoch  2/80 | Batch 173/188 ( 92%)] Loss: 5.6051 
  [Epoch  2/80 | Batch 177/188 ( 94%)] Loss: 5.6023 
  [Epoch  2/80 | Batch 181/188 ( 96%)] Loss: 5.6045 
  [Epoch  2/80 | Batch 185/188 ( 98%)] Loss: 5.6069 
  [Epoch  2/80 | Batch 188/188 (100%)] Loss: 5.6025 
  [Epoch  2/80 |   2.5%] Train Loss: 5.6025 | Val Loss: 6.5260             

  [Epoch  3/80 | Batch   1/188 (  0%)] Loss: 4.9419 
  [Epoch  3/80 | Batch   5/188 (  2%)] Loss: 4.9426 
  [Epoch  3/80 | Batch   9/188 (  4%)] Loss: 4.8501 
  [Epoch  3/80 | Batch  13/188 (  6%)] Loss: 4.8603 
  [Epoch  3/80 | Batch  17/188 (  9%)] Loss: 4.8347 
  [Epoch  3/80 | Batch  21/188 ( 11%)] Loss: 4.8444 
  [Epoch  3/80 | Batch  25/188 ( 13%)] Loss: 4.8339 
  [Epoch  3/80 | Batch  29/188 ( 15%)] Loss: 4.8321 
  [Epoch  3/80 | Batch  33/188 ( 17%)] Loss: 4.8330 
  [Epoch  3/80 | Batch  37/188 ( 19%)] Loss: 4.8452 
  [Epoch  3/80 | Batch  41/188 ( 21%)] Loss: 4.8544 
  [Epoch  3/80 | Batch  45/188 ( 23%)] Loss: 4.8661 
  [Epoch  3/80 | Batch  49/188 ( 26%)] Loss: 4.8671 
  [Epoch  3/80 | Batch  53/188 ( 28%)] Loss: 4.8750 
  [Epoch  3/80 | Batch  57/188 ( 30%)] Loss: 4.8533 
  [Epoch  3/80 | Batch  61/188 ( 32%)] Loss: 4.8538 
  [Epoch  3/80 | Batch  65/188 ( 34%)] Loss: 4.8658 
  [Epoch  3/80 | Batch  69/188 ( 36%)] Loss: 4.8603 
  [Epoch  3/80 | Batch  73/188 ( 38%)] Loss: 4.8509 
  [Epoch  3/80 | Batch  77/188 ( 40%)] Loss: 4.8522 
