>> Starting AdamW training on corpus 'corpus.txt' (80 epochs, LR: 0.025, 1024 vocab target)...
  [OpenMP Multi-Threading: ENABLED]

  [Epoch  2/80 | Batch 141/188 ( 75%)] Loss: 5.9624 
  [Epoch  2/80 | Batch 145/188 ( 77%)] Loss: 5.9491 
  [Epoch  2/80 | Batch 149/188 ( 79%)] Loss: 5.9454 
  [Epoch  2/80 | Batch 153/188 ( 81%)] Loss: 5.9380 
  [Epoch  2/80 | Batch 157/188 ( 83%)] Loss: 5.9327 
  [Epoch  2/80 | Batch 161/188 ( 85%)] Loss: 5.9204 
  [Epoch  2/80 | Batch 165/188 ( 87%)] Loss: 5.9106 
  [Epoch  2/80 | Batch 169/188 ( 89%)] Loss: 5.8962 
  [Epoch  2/80 | Batch 173/188 ( 92%)] Loss: 5.8900 
  [Epoch  2/80 | Batch 177/188 ( 94%)] Loss: 5.8782 
  [Epoch  2/80 | Batch 181/188 ( 96%)] Loss: 5.8702 
  [Epoch  2/80 | Batch 185/188 ( 98%)] Loss: 5.8586 
  [Epoch  2/80 | Batch 188/188 (100%)] Loss: 5.8518 
  [Epoch  2/80 |   2.5%] Train Loss: 5.8518 | Val Loss: 7.2836             

  [Epoch  3/80 | Batch   1/188 (  0%)] Loss: 5.0995 
  [Epoch  3/80 | Batch   5/188 (  2%)] Loss: 5.3024 
  [Epoch  3/80 | Batch   9/188 (  4%)] Loss: 5.3374 
  [Epoch  3/80 | Batch  13/188 (  6%)] Loss: 5.1843 
  [Epoch  3/80 | Batch  17/188 (  9%)] Loss: 5.2742 
  [Epoch  3/80 | Batch  21/188 ( 11%)] Loss: 5.3008 
  [Epoch  3/80 | Batch  25/188 ( 13%)] Loss: 5.3124 
  [Epoch  3/80 | Batch  29/188 ( 15%)] Loss: 5.2663 
  [Epoch  3/80 | Batch  33/188 ( 17%)] Loss: 5.2158 
  [Epoch  3/80 | Batch  37/188 ( 19%)] Loss: 5.2374 
  [Epoch  3/80 | Batch  41/188 ( 21%)] Loss: 5.2314 
  [Epoch  3/80 | Batch  45/188 ( 23%)] Loss: 5.2382 
  [Epoch  3/80 | Batch  49/188 ( 26%)] Loss: 5.2100 
  [Epoch  3/80 | Batch  53/188 ( 28%)] Loss: 5.1827 
  [Epoch  3/80 | Batch  57/188 ( 30%)] Loss: 5.1756 
  [Epoch  3/80 | Batch  61/188 ( 32%)] Loss: 5.1756 
  [Epoch  3/80 | Batch  65/188 ( 34%)] Loss: 5.1474 
  [Epoch  3/80 | Batch  69/188 ( 36%)] Loss: 5.1474 
  [Epoch  3/80 | Batch  73/188 ( 38%)] Loss: 5.1346 
  [Epoch  3/80 | Batch  77/188 ( 40%)] Loss: 5.1314 
  [Epoch  3/80 | Batch  81/188 ( 43%)] Loss: 5.1346 
  [Epoch  3/80 | Batch  85/188 ( 45%)] Loss: 5.1181 
  [Epoch  3/80 | Batch  89/188 ( 47%)] Loss: 5.1174 
  [Epoch  3/80 | Batch  93/188 ( 49%)] Loss: 5.1334 
  [Epoch  3/80 | Batch  97/188 ( 51%)] Loss: 5.1212 
  [Epoch  3/80 | Batch 101/188 ( 53%)] Loss: 5.1032 
  [Epoch  3/80 | Batch 105/188 ( 55%)] Loss: 5.0967 
  [Epoch  3/80 | Batch 109/188 ( 57%)] Loss: 5.0824 
  [Epoch  3/80 | Batch 113/188 ( 60%)] Loss: 5.0659 
  [Epoch  3/80 | Batch 117/188 ( 62%)] Loss: 5.0588 
  [Epoch  3/80 | Batch 121/188 ( 64%)] Loss: 5.0457 
  [Epoch  3/80 | Batch 125/188 ( 66%)] Loss: 5.0270 
  [Epoch  3/80 | Batch 129/188 ( 68%)] Loss: 5.0223 
  [Epoch  3/80 | Batch 133/188 ( 70%)] Loss: 5.0056 
  [Epoch  3/80 | Batch 137/188 ( 72%)] Loss: 5.0003 
  [Epoch  3/80 | Batch 141/188 ( 75%)] Loss: 5.0023 
  [Epoch  3/80 | Batch 145/188 ( 77%)] Loss: 4.9904 
  [Epoch  3/80 | Batch 149/188 ( 79%)] Loss: 4.9779 
  [Epoch  3/80 | Batch 153/188 ( 81%)] Loss: 4.9682 
  [Epoch  3/80 | Batch 157/188 ( 83%)] Loss: 4.9524 
  [Epoch  3/80 | Batch 161/188 ( 85%)] Loss: 4.9386 
  [Epoch  3/80 | Batch 165/188 ( 87%)] Loss: 4.9254 
  [Epoch  3/80 | Batch 169/188 ( 89%)] Loss: 4.9133 
  [Epoch  3/80 | Batch 173/188 ( 92%)] Loss: 4.9063 
  [Epoch  3/80 | Batch 177/188 ( 94%)] Loss: 4.8924 
  [Epoch  3/80 | Batch 181/188 ( 96%)] Loss: 4.8799 
  [Epoch  3/80 | Batch 185/188 ( 98%)] Loss: 4.8725 
  [Epoch  3/80 | Batch 188/188 (100%)] Loss: 4.8588 
  [Epoch  3/80 |   3.8%] Train Loss: 4.8588 | Val Loss: 7.9118             

  [Epoch  4/80 | Batch   1/188 (  0%)] Loss: 3.8679 
  [Epoch  4/80 | Batch   5/188 (  2%)] Loss: 4.4947 
  [Epoch  4/80 | Batch   9/188 (  4%)] Loss: 4.4283 
  [Epoch  4/80 | Batch  13/188 (  6%)] Loss: 4.3998 
  [Epoch  4/80 | Batch  17/188 (  9%)] Loss: 4.4103 
  [Epoch  4/80 | Batch  21/188 ( 11%)] Loss: 4.5119 
  [Epoch  4/80 | Batch  25/188 ( 13%)] Loss: 4.4910 
  [Epoch  4/80 | Batch  29/188 ( 15%)] Loss: 4.4467 
  [Epoch  4/80 | Batch  33/188 ( 17%)] Loss: 4.3952 
  [Epoch  4/80 | Batch  37/188 ( 19%)] Loss: 4.4159 
  [Epoch  4/80 | Batch  41/188 ( 21%)] Loss: 4.4000 
  [Epoch  4/80 | Batch  45/188 ( 23%)] Loss: 4.4199 
  [Epoch  4/80 | Batch  49/188 ( 26%)] Loss: 4.3908 
  [Epoch  4/80 | Batch  53/188 ( 28%)] Loss: 4.3428 
  [Epoch  4/80 | Batch  57/188 ( 30%)] Loss: 4.3394 
  [Epoch  4/80 | Batch  61/188 ( 32%)] Loss: 4.3379 
  [Epoch  4/80 | Batch  65/188 ( 34%)] Loss: 4.3147 
  [Epoch  4/80 | Batch  69/188 ( 36%)] Loss: 4.2927 
  [Epoch  4/80 | Batch  73/188 ( 38%)] Loss: 4.2648 
  [Epoch  4/80 | Batch  77/188 ( 40%)] Loss: 4.2688 
  [Epoch  4/80 | Batch  81/188 ( 43%)] Loss: 4.2739 
  [Epoch  4/80 | Batch  85/188 ( 45%)] Loss: 4.2549 
  [Epoch  4/80 | Batch  89/188 ( 47%)] Loss: 4.2563 
  [Epoch  4/80 | Batch  93/188 ( 49%)] Loss: 4.2510 
  [Epoch  4/80 | Batch  97/188 ( 51%)] Loss: 4.2558 
  [Epoch  4/80 | Batch 101/188 ( 53%)] Loss: 4.2480 
  [Epoch  4/80 | Batch 105/188 ( 55%)] Loss: 4.2407 
  [Epoch  4/80 | Batch 109/188 ( 57%)] Loss: 4.2320 
  [Epoch  4/80 | Batch 113/188 ( 60%)] Loss: 4.2094 
  [Epoch  4/80 | Batch 117/188 ( 62%)] Loss: 4.2028 
  [Epoch  4/80 | Batch 121/188 ( 64%)] Loss: 4.1931 
  [Epoch  4/80 | Batch 125/188 ( 66%)] Loss: 4.1758 
  [Epoch  4/80 | Batch 129/188 ( 68%)] Loss: 4.1827 
  [Epoch  4/80 | Batch 133/188 ( 70%)] Loss: 4.1764 
  [Epoch  4/80 | Batch 137/188 ( 72%)] Loss: 4.1680 
  [Epoch  4/80 | Batch 141/188 ( 75%)] Loss: 4.1666 
  [Epoch  4/80 | Batch 145/188 ( 77%)] Loss: 4.1662 
  [Epoch  4/80 | Batch 149/188 ( 79%)] Loss: 4.1632 
  [Epoch  4/80 | Batch 153/188 ( 81%)] Loss: 4.1600 
